id,"name","district_id",type
1,"फुङलिङ नगरपालिका","1",1
2,"आठराई त्रिवेणी गाउँपालिका","1",0
3,"सिदिङ्वा गाउँपालिका","1",0
4,"फक्ताङलुङ गाउँपालिका","1",0
5,"मिक्वाखोला गाउँपालिका","1",0
6,"मेरिङदेन गाउँपालिका","1",0
7,"मैवाखोला गाउँपालिका","1",0
8,"याङवरक गाउँपालिका","1",0
9,"सिरीजङ्घा गाउँपालिका","1",0
10,"फिदिम नगरपालिका","2",1
11,"फालेलुंग गाउँपालिका","2",0
12,"फाल्गुनन्द गाउँपालिका","2",0
13,"हिलिहाङ गाउँपालिका","2",0
14,"कुम्मायक गाउँपालिका","2",0
15,"मिक्लाजुङ गाउँपालिका","2",0
16,"तुम्बेवा गाउँपालिका","2",0
17,"ईलाम नगरपालिका","3",1
18,"देउमाई नगरपालिका","3",1
19,"माई नगरपालिका","3",1
20,"सूर्योदय नगरपालिका","3",1
21,"फाकफोकथुम गाउँपालिका","3",0
22,"चुलाचुली गाउँपालिका","3",0
23,"माईजोगमाई गाउँपालिका","3",0
24,"माङसेबुङ गाउँपालिका","3",0
25,"रोङ गाउँपालिका","3",0
26,"सन्दकपुर गाउँपालिका","3",0
27,"मेचीनगर नगरपालिका","4",1
28,"दमक नगरपालिका","4",1
29,"कन्काई नगरपालिका","4",1
30,"भद्रपुर नगरपालिका","4",1
31,"अर्जुनधारा नगरपालिका","4",1
32,"शिवशताक्षी नगरपालिका","4",1
33,"गौरादह नगरपालिका","4",1
34,"विर्तामोड नगरपालिका","4",1
35,"कमल गाउँपालिका","4",0
36,"गौरीगंज गाउँपालिका","4",0
37,"बाह्रदशी गाउँपालिका","4",0
38,"झापा गाउँपालिका","4",0
39,"बुद्धशान्ति गाउँपालिका","4",0
40,"हल्दिवारी गाउँपालिका","4",0
41,"कचनकवल गाउँपालिका","4",0
42,"विराटनगर महानगरपालिका","5",3
43,"बेलवारी नगरपालिका","5",1
44,"लेटाङ नगरपालिका","5",1
45,"पथरी शनिश्चरे नगरपालिका","5",1
46,"रंगेली नगरपालिका","5",1
47,"रतुवामाई नगरपालिका","5",1
48,"सुनवर्षि नगरपालिका","5",1
49,"उर्लावारी नगरपालिका","5",1
50,"सुन्दरहरैचा नगरपालिका","5",1
51,"बुढीगंगा गाउँपालिका","5",0
52,"धनपालथान गाउँपालिका","5",0
53,"ग्रामथान गाउँपालिका","5",0
54,"जहदा गाउँपालिका","5",0
55,"कानेपोखरी गाउँपालिका","5",0
56,"कटहरी गाउँपालिका","5",0
57,"केरावारी गाउँपालिका","5",0
58,"ईटहरी उपमहानगरपालिका","6",2
59,"धरान उपमहानगरपालिका","6",2
60,"ईनरुवा नगरपालिका","6",1
61,"दुहवी नगरपालिका","6",1
62,"रामधुनी नगरपालिका","6",1
63,"बराह नगरपालिका","6",1
64,"देवानगञ्ज गाउँपालिका","6",0
65,"कोशी गाउँपालिका","6",0
66,"गढी गाउँपालिका","6",0
67,"बर्जु गाउँपालिका","6",0
68,"भोक्राहा गाउँपालिका","6",0
69,"हरिनगरा गाउँपालिका","6",0
70,"पाख्रिबास नगरपालिका","7",1
71,"धनकुटा नगरपालिका","7",1
72,"महालक्ष्मी नगरपालिका","7",1
73,"साँगुरीगढी गाउँपालिका","7",0
74,"खाल्सा छिन्ताङ सहिदभूमि गाउँपालिका","7",0
75,"छथर जोरपाटी गाउँपालिका","7",0
76,"चौविसे गाउँपालिका","7",0
77,"म्याङलुङ नगरपालिका","8",1
78,"लालीगुराँस नगरपालिका","8",1
79,"आठराई गाउँपालिका","8",0
80,"छथर गाउँपालिका","8",0
81,"फेदाप गाउँपालिका","8",0
82,"मेन्छयायेम गाउँपालिका","8",0
83,"चैनपुर नगरपालिका","9",1
84,"धर्मदेवी नगरपालिका","9",1
85,"खाँदवारी नगरपालिका","9",1
86,"मादी नगरपालिका","9",1
87,"पाँचखपन नगरपालिका","9",1
88,"भोटखोला गाउँपालिका","9",0
89,"चिचिला गाउँपालिका","9",0
90,"मकालु गाउँपालिका","9",0
91,"सभापोखरी गाउँपालिका","9",0
92,"सिलीचोङ गाउँपालिका","9",0
93,"भोजपुर नगरपालिका","10",1
94,"षडानन्द नगरपालिका","10",1
95,"ट्याम्केमैयुम गाउँपालिका","10",0
96,"रामप्रसाद राई गाउँपालिका","10",0
97,"अरुण गाउँपालिका","10",0
98,"पौवादुङमा गाउँपालिका","10",0
99,"साल्पासिलिछो गाउँपालिका","10",0
100,"आमचोक गाउँपालिका","10",0
101,"हतुवागढी गाउँपालिका","10",0
